"user_id,""sb0"",""sb1"",""sb2"",""sb3"",""sb4"",""sb5"",""sb6"",""sb7"",""sb8"",""sb9"",""ms"",""regularf"",""final"",""certificate"",""gradepf"",""milestone"",""step"""
"277481,2013-09-10,2014-01-29 02:49:00,2014-01-29 02:52:01,NA,NA,NA,NA,NA,NA,2014-01-27 20:19:08,3,0,0,0,0,10,2"
"288223,2013-09-28,2014-02-07 15:10:00,2014-02-10 23:43:01,NA,NA,NA,NA,NA,NA,2014-02-05 15:23:08,3,0,0,0,0,1,1"
"288223,2013-09-28,2014-02-07 15:10:00,2014-02-10 23:43:01,NA,NA,NA,NA,NA,NA,2014-02-05 15:23:08,3,0,0,0,0,2,3"
"288223,2013-09-28,2014-02-07 15:10:00,2014-02-10 23:43:01,NA,NA,NA,NA,NA,NA,2014-02-05 15:23:08,3,0,0,0,0,10,2"
"296531,2013-10-20,2014-02-05 09:52:00,2014-02-06 11:45:01,2014-02-08 17:39:02,2014-02-14 05:15:03,2014-03-14 10:33:04,NA,NA,NA,2014-01-31 16:01:08,6,0,0,0,0,1,1"
"296531,2013-10-20,2014-02-05 09:52:00,2014-02-06 11:45:01,2014-02-08 17:39:02,2014-02-14 05:15:03,2014-03-14 10:33:04,NA,NA,NA,2014-01-31 16:01:08,6,0,0,0,0,2,3"
"296531,2013-10-20,2014-02-05 09:52:00,2014-02-06 11:45:01,2014-02-08 17:39:02,2014-02-14 05:15:03,2014-03-14 10:33:04,NA,NA,NA,2014-01-31 16:01:08,6,0,0,0,0,10,2"
"298704,2013-04-25,2014-02-03 03:42:00,NA,NA,NA,NA,NA,NA,NA,2014-02-02 19:33:08,2,0,0,0,0,1,1"
"298704,2013-04-25,2014-02-03 03:42:00,NA,NA,NA,NA,NA,NA,NA,2014-02-02 19:33:08,2,0,0,0,0,2,3"
"298704,2013-04-25,2014-02-03 03:42:00,NA,NA,NA,NA,NA,NA,NA,2014-02-02 19:33:08,2,0,0,0,0,10,2"
"301687,2013-05-13,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-07 21:10:08,1,0,0,0,0,1,1"
"301687,2013-05-13,NA,NA,NA,NA,NA,NA,NA,NA,2014-12-07 21:10:08,1,0,0,0,0,10,2"
"302838,2013-08-04,2014-03-20 20:22:00,2014-03-26 20:29:01,2014-07-09 17:55:02,2014-06-09 17:47:03,2014-07-09 17:52:04,2014-08-04 16:56:05,2014-08-07 02:32:06,2014-08-11 19:21:07,2014-03-20 20:19:08,9,9,0,0,0,1,1"
"302838,2013-08-04,2014-03-20 20:22:00,2014-03-26 20:29:01,2014-07-09 17:55:02,2014-06-09 17:47:03,2014-07-09 17:52:04,2014-08-04 16:56:05,2014-08-07 02:32:06,2014-08-11 19:21:07,2014-03-20 20:19:08,9,9,0,0,0,2,3"
"302838,2013-08-04,2014-03-20 20:22:00,2014-03-26 20:29:01,2014-07-09 17:55:02,2014-06-09 17:47:03,2014-07-09 17:52:04,2014-08-04 16:56:05,2014-08-07 02:32:06,2014-08-11 19:21:07,2014-03-20 20:19:08,9,9,0,0,0,10,2"
"304712,2013-08-31,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-17 01:24:08,1,0,0,0,0,1,1"
"304712,2013-08-31,NA,NA,NA,NA,NA,NA,NA,NA,2014-04-17 01:24:08,1,0,0,0,0,10,2"
"315028,2013-04-26,2014-10-21 13:08:00,2014-10-22 20:38:01,2014-10-30 13:44:02,2014-11-01 14:54:03,2014-11-08 20:34:04,2014-11-15 21:54:05,2014-12-07 14:03:06,NA,2014-10-21 13:01:08,8,0,0,0,0,1,1"
"315028,2013-04-26,2014-10-21 13:08:00,2014-10-22 20:38:01,2014-10-30 13:44:02,2014-11-01 14:54:03,2014-11-08 20:34:04,2014-11-15 21:54:05,2014-12-07 14:03:06,NA,2014-10-21 13:01:08,8,0,0,0,0,2,3"
"315028,2013-04-26,2014-10-21 13:08:00,2014-10-22 20:38:01,2014-10-30 13:44:02,2014-11-01 14:54:03,2014-11-08 20:34:04,2014-11-15 21:54:05,2014-12-07 14:03:06,NA,2014-10-21 13:01:08,8,0,0,0,0,10,2"
"323591,2013-10-09,NA,NA,NA,NA,NA,NA,NA,NA,2014-09-26 15:19:08,1,0,0,0,0,1,1"
"323591,2013-10-09,NA,NA,NA,NA,NA,NA,NA,NA,2014-09-26 15:19:08,1,0,0,0,0,10,2"
"351474,2013-10-18,2014-04-22 12:10:00,2014-04-24 03:34:01,NA,NA,NA,NA,NA,NA,2014-04-21 12:31:08,3,0,0,0,0,1,1"
"351474,2013-10-18,2014-04-22 12:10:00,2014-04-24 03:34:01,NA,NA,NA,NA,NA,NA,2014-04-21 12:31:08,3,0,0,0,0,2,3"
"351474,2013-10-18,2014-04-22 12:10:00,2014-04-24 03:34:01,NA,NA,NA,NA,NA,NA,2014-04-21 12:31:08,3,0,0,0,0,10,2"
"366086,2013-04-01,2014-05-21 21:17:00,2014-05-21 22:25:01,2014-05-27 00:26:02,2014-06-18 01:10:03,NA,NA,NA,NA,2014-05-21 22:23:08,5,0,0,0,0,1,1"
"366086,2013-04-01,2014-05-21 21:17:00,2014-05-21 22:25:01,2014-05-27 00:26:02,2014-06-18 01:10:03,NA,NA,NA,NA,2014-05-21 22:23:08,5,0,0,0,0,2,2"
"366086,2013-04-01,2014-05-21 21:17:00,2014-05-21 22:25:01,2014-05-27 00:26:02,2014-06-18 01:10:03,NA,NA,NA,NA,2014-05-21 22:23:08,5,0,0,0,0,10,3"
"367146,2014-02-15,NA,2014-07-11 05:55:01,NA,NA,NA,NA,NA,NA,2014-06-21 04:53:08,2,0,0,0,0,1,1"
"367146,2014-02-15,NA,2014-07-11 05:55:01,NA,NA,NA,NA,NA,NA,2014-06-21 04:53:08,2,0,0,0,0,3,3"
"367146,2014-02-15,NA,2014-07-11 05:55:01,NA,NA,NA,NA,NA,NA,2014-06-21 04:53:08,2,0,0,0,0,10,2"
"380662,2013-11-02,2014-02-18 07:28:00,2014-02-22 23:17:01,2014-03-02 15:39:02,2014-03-11 12:43:03,NA,NA,NA,NA,2014-02-18 07:25:08,5,0,0,0,0,1,1"
"380662,2013-11-02,2014-02-18 07:28:00,2014-02-22 23:17:01,2014-03-02 15:39:02,2014-03-11 12:43:03,NA,NA,NA,NA,2014-02-18 07:25:08,5,0,0,0,0,2,3"
"380662,2013-11-02,2014-02-18 07:28:00,2014-02-22 23:17:01,2014-03-02 15:39:02,2014-03-11 12:43:03,NA,NA,NA,NA,2014-02-18 07:25:08,5,0,0,0,0,10,2"
"387387,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-26 15:42:08,1,0,0,0,0,1,1"
"387387,2014-08-01,NA,NA,NA,NA,NA,NA,NA,NA,2014-11-26 15:42:08,1,0,0,0,0,10,2"
"388084,2013-05-25,2014-04-23 13:18:00,NA,NA,NA,NA,NA,NA,NA,2014-04-23 13:08:08,2,0,0,0,0,1,1"
"388084,2013-05-25,2014-04-23 13:18:00,NA,NA,NA,NA,NA,NA,NA,2014-04-23 13:08:08,2,0,0,0,0,2,3"
"388084,2013-05-25,2014-04-23 13:18:00,NA,NA,NA,NA,NA,NA,NA,2014-04-23 13:08:08,2,0,0,0,0,10,2"
"388295,2014-06-25,2014-10-12 18:52:00,2014-10-16 12:48:01,2014-10-17 10:38:02,NA,NA,NA,NA,NA,2014-10-12 18:43:08,4,0,0,0,0,1,1"
"388295,2014-06-25,2014-10-12 18:52:00,2014-10-16 12:48:01,2014-10-17 10:38:02,NA,NA,NA,NA,NA,2014-10-12 18:43:08,4,0,0,0,0,2,3"
"388295,2014-06-25,2014-10-12 18:52:00,2014-10-16 12:48:01,2014-10-17 10:38:02,NA,NA,NA,NA,NA,2014-10-12 18:43:08,4,0,0,0,0,10,2"
